original_row,source,rel,target
14110,Disease::DOID:7693,PRESENTS,Symptom::D007383
14111,Disease::DOID:2994,PRESENTS,Symptom::D021501
14112,Disease::DOID:7148,PRESENTS,Symptom::D010146
14113,Disease::DOID:1319,PRESENTS,Symptom::D013064
14114,Disease::DOID:1324,PRESENTS,Symptom::D003248
14115,Disease::DOID:1612,PRESENTS,Symptom::D059373
14116,Disease::DOID:1192,PRESENTS,Symptom::D009437
14117,Disease::DOID:13499,PRESENTS,Symptom::D006396
14118,Disease::DOID:2994,PRESENTS,Symptom::D004433
14119,Disease::DOID:5559,PRESENTS,Symptom::D006732
14120,Disease::DOID:1595,PRESENTS,Symptom::D053608
14121,Disease::DOID:1024,PRESENTS,Symptom::D012877
14122,Disease::DOID:2596,PRESENTS,Symptom::D004417
14123,Disease::DOID:1319,PRESENTS,Symptom::D000381
14124,Disease::DOID:5419,PRESENTS,Symptom::D011596
14125,Disease::DOID:10534,PRESENTS,Symptom::D006356
14126,Disease::DOID:2377,PRESENTS,Symptom::D006816
14127,Disease::DOID:0060119,PRESENTS,Symptom::D003639
14128,Disease::DOID:784,PRESENTS,Symptom::D054058
14129,Disease::DOID:5419,PRESENTS,Symptom::D000377
14130,Disease::DOID:8850,PRESENTS,Symptom::D005158
14131,Disease::DOID:263,PRESENTS,Symptom::D010148
14132,Disease::DOID:1024,PRESENTS,Symptom::D009133
14133,Disease::DOID:13241,PRESENTS,Symptom::D001750
14134,Disease::DOID:1826,PRESENTS,Symptom::D003655
14135,Disease::DOID:1595,PRESENTS,Symptom::D012893
14136,Disease::DOID:1115,PRESENTS,Symptom::D010264
14137,Disease::DOID:9074,PRESENTS,Symptom::D011693
14138,Disease::DOID:5559,PRESENTS,Symptom::D006469
14139,Disease::DOID:1115,PRESENTS,Symptom::D004417
14140,Disease::DOID:11119,PRESENTS,Symptom::D012021
14141,Disease::DOID:2994,PRESENTS,Symptom::D002637
14142,Disease::DOID:824,PRESENTS,Symptom::D009058
14143,Disease::DOID:3393,PRESENTS,Symptom::D020181
14144,Disease::DOID:4989,PRESENTS,Symptom::D014839
14145,Disease::DOID:2377,PRESENTS,Symptom::D005132
14146,Disease::DOID:1993,PRESENTS,Symptom::D005334
14147,Disease::DOID:0050742,PRESENTS,Symptom::D006930
14148,Disease::DOID:4606,PRESENTS,Symptom::D003085
14149,Disease::DOID:1909,PRESENTS,Symptom::D009325
14150,Disease::DOID:12930,PRESENTS,Symptom::D006319
14151,Disease::DOID:1595,PRESENTS,Symptom::D002389
