id,name,label
Compound::DB00014,Goserelin,Compound
Compound::DB00091,Cyclosporine,Compound
Compound::DB00104,Octreotide,Compound
Compound::DB00122,Choline,Compound
Compound::DB00126,Vitamin C,Compound
Compound::DB00136,Calcitriol,Compound
Compound::DB00153,Ergocalciferol,Compound
Compound::DB00169,Cholecalciferol,Compound
Compound::DB00175,Pravastatin,Compound
Compound::DB00176,Fluvoxamine,Compound
Compound::DB00177,Valsartan,Compound
Compound::DB00178,Ramipril,Compound
Compound::DB00180,Flunisolide,Compound
Compound::DB00181,Baclofen,Compound
Compound::DB00182,Amphetamine,Compound
Compound::DB00184,Nicotine,Compound
Compound::DB00186,Lorazepam,Compound
Compound::DB00187,Esmolol,Compound
Compound::DB00188,Bortezomib,Compound
Compound::DB00190,Carbidopa,Compound
Compound::DB00191,Phentermine,Compound
Compound::DB00193,Tramadol,Compound
Compound::DB00195,Betaxolol,Compound
Compound::DB00201,Caffeine,Compound
Compound::DB00203,Sildenafil,Compound
Compound::DB00205,Pyrimethamine,Compound
Compound::DB00206,Reserpine,Compound
Compound::DB00214,Torasemide,Compound
Compound::DB00215,Citalopram,Compound
Compound::DB00216,Eletriptan,Compound
Compound::DB00218,Moxifloxacin,Compound
Compound::DB00220,Nelfinavir,Compound
Compound::DB00221,Isoetarine,Compound
Compound::DB00222,Glimepiride,Compound
Compound::DB00224,Indinavir,Compound
Compound::DB00226,Guanadrel,Compound
Compound::DB00227,Lovastatin,Compound
Compound::DB00230,Pregabalin,Compound
Compound::DB00238,Nevirapine,Compound
Compound::DB00241,Butalbital,Compound
Compound::DB00242,Cladribine,Compound
Compound::DB00244,Mesalazine,Compound
Compound::DB00245,Benzatropine,Compound
Compound::DB00246,Ziprasidone,Compound
Compound::DB00248,Cabergoline,Compound
Compound::DB00250,Dapsone,Compound
Compound::DB00252,Phenytoin,Compound
Compound::DB00254,Doxycycline,Compound
Compound::DB00258,Calcium Acetate,Compound
Compound::DB00261,Anagrelide,Compound
Compound::DB00262,Carmustine,Compound
Compound::DB00264,Metoprolol,Compound
Compound::DB00268,Ropinirole,Compound
Compound::DB00270,Isradipine,Compound
Compound::DB00273,Topiramate,Compound
Compound::DB00275,Olmesartan,Compound
Compound::DB00277,Theophylline,Compound
Compound::DB00279,Liothyronine,Compound
Compound::DB00281,Lidocaine,Compound
Compound::DB00282,Pamidronate,Compound
Compound::DB00284,Acarbose,Compound
Compound::DB00285,Venlafaxine,Compound
Compound::DB00286,Conjugated Estrogens,Compound
Compound::DB00287,Travoprost,Compound
Compound::DB00289,Atomoxetine,Compound
Compound::DB00290,Bleomycin,Compound
Compound::DB00291,Chlorambucil,Compound
Compound::DB00295,Morphine,Compound
Compound::DB00304,Desogestrel,Compound
Compound::DB00305,Mitomycin,Compound
Compound::DB00307,Bexarotene,Compound
Compound::DB00310,Chlorthalidone,Compound
Compound::DB00313,Valproic Acid,Compound
Compound::DB00315,Zolmitriptan,Compound
Compound::DB00316,Acetaminophen,Compound
Compound::DB00317,Gefitinib,Compound
Compound::DB00318,Codeine,Compound
Compound::DB00320,Dihydroergotamine,Compound
Compound::DB00321,Amitriptyline,Compound
Compound::DB00322,Floxuridine,Compound
Compound::DB00323,Tolcapone,Compound
Compound::DB00328,Indomethacin,Compound
Compound::DB00331,Metformin,Compound
Compound::DB00332,Ipratropium bromide,Compound
Compound::DB00334,Olanzapine,Compound
Compound::DB00337,Pimecrolimus,Compound
Compound::DB00338,Omeprazole,Compound
Compound::DB00341,Cetirizine,Compound
Compound::DB00343,Diltiazem,Compound
Compound::DB00347,Trimethadione,Compound
Compound::DB00349,Clobazam,Compound
Compound::DB00350,Minoxidil,Compound
Compound::DB00351,Megestrol acetate,Compound
Compound::DB00352,Tioguanine,Compound
Compound::DB00353,Methylergometrine,Compound
Compound::DB00359,Sulfadiazine,Compound
Compound::DB00361,Vinorelbine,Compound
Compound::DB00363,Clozapine,Compound
Compound::DB00367,Levonorgestrel,Compound
Compound::DB00373,Timolol,Compound
